Actor,Path Length,Path
"Jack Nicholson",1,"([('actor', 'Jack Nicholson', 514), ('movie', 'How Do You Know', 42888), ('actor', 'Paul Rudd', 22226), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Jack Nicholson')"
"Robert De Niro",1,"([('actor', 'Robert De Niro', 380), ('movie', 'Joker', 475557), ('actor', 'Zazie Beetz', 1545693), ('movie', 'The Bad Guys 2', 1175942)], 'Robert De Niro')"
"Al Pacino",1,"([('actor', 'Al Pacino', 1158), ('movie', "The Devil's Advocate", 1813), ('actor', 'John Rothman', 60205), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Al Pacino')"
"Marlon Brando",2,"([('actor', 'Marlon Brando', 3084), ('movie', 'The Godfather', 238), ('actor', 'Al Pacino', 1158), ('movie', "The Devil's Advocate", 1813), ('actor', 'John Rothman', 60205), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Marlon Brando')"
"Dustin Hoffman",1,"([('actor', 'Dustin Hoffman', 4483), ('movie', 'Kung Fu Panda 4', 1011985), ('actor', 'Awkwafina', 1625558), ('movie', 'The Bad Guys 2', 1175942)], 'Dustin Hoffman')"
"Tom Hanks",1,"([('actor', 'Tom Hanks', 31), ('movie', 'Toy Story', 862), ('actor', 'Annie Potts', 8873), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Tom Hanks')"
"Leonardo DiCaprio",1,"([('actor', 'Leonardo DiCaprio', 6193), ('movie', 'The Basketball Diaries', 10474), ('actor', 'Ernie Hudson', 8874), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Leonardo DiCaprio')"
"Daniel Day-Lewis",2,"([('actor', 'Daniel Day-Lewis', 11856), ('movie', 'There Will Be Blood', 7345), ('actor', 'Ciarán Hinds', 8785), ('movie', 'Frozen', 109445), ('actor', 'Bridget Hoffman', 173428), ('movie', 'The Bad Guys 2', 1175942)], 'Daniel Day-Lewis')"
"James Stewart",3,"([('actor', 'James Stewart', 216428), ('movie', 'Kickstart 3 Whiskey Throttle', 86014), ('actor', 'Josh Hansen', 932831), ('movie', 'Paranormal Movie', 185474), ('actor', 'Jake Busey', 28410), ('movie', 'The Predator', 346910), ('actor', 'Juan Pacheco', 1363155), ('movie', 'The Bad Guys 2', 1175942)], 'James Stewart')"
"Humphrey Bogart",1,"([('actor', 'Humphrey Bogart', 4110), ('movie', 'Tales from the Crypt: The Robert Zemeckis Collection', 750894), ('actor', 'Dan Aykroyd', 707), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Humphrey Bogart')"
"Cary Grant",2,"([('actor', 'Cary Grant', 2638), ('movie', 'The Philadelphia Story', 981), ('actor', 'Mildred Shay', 1234110), ('movie', 'Little Shop of Horrors', 10776), ('actor', 'Bill Murray', 1532), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Cary Grant')"
"Gene Hackman",1,"([('actor', 'Gene Hackman', 193), ('movie', 'Antz', 8916), ('actor', 'Dan Aykroyd', 707), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Gene Hackman')"
"Clint Eastwood",1,"([('actor', 'Clint Eastwood', 190), ('movie', 'Casper', 8839), ('actor', 'Dan Aykroyd', 707), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Clint Eastwood')"
"Paul Newman",2,"([('actor', 'Paul Newman', 3636), ('movie', 'Cars 3', 260514), ('actor', 'Nathan Fillion', 51797), ('movie', 'Guardians of the Galaxy Vol. 3', 447365), ('actor', 'Maria Bakalova', 2408703), ('movie', 'The Bad Guys 2', 1175942)], 'Paul Newman')"
"Henry Fonda",2,"([('actor', 'Henry Fonda', 4958), ('movie', '12 Angry Men', 389), ('actor', 'John Fiedler', 5247), ('movie', 'A Tattered Web', 326697), ('actor', 'Allison McKay', 93672), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Henry Fonda')"
"Jack Lemmon",2,"([('actor', 'Jack Lemmon', 3151), ('movie', 'Grumpy Old Men', 11520), ('actor', 'Ann-Margret', 13567), ('movie', 'Taxi', 11045), ('actor', 'Patton Oswalt', 10872), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Jack Lemmon')"
"Burt Lancaster",2,"([('actor', 'Burt Lancaster', 13784), ('movie', 'Judgment at Nuremberg', 821), ('actor', 'William Shatner', 1748), ('movie', 'Over the Hedge', 7518), ('actor', 'Bridget Hoffman', 173428), ('movie', 'The Bad Guys 2', 1175942)], 'Burt Lancaster')"
"Philip Seymour Hoffman",1,"([('actor', 'Philip Seymour Hoffman', 1233), ('movie', 'Almost Famous', 786), ('actor', 'Marc Maron', 1231717), ('movie', 'The Bad Guys 2', 1175942)], 'Philip Seymour Hoffman')"
"Anthony Hopkins",2,"([('actor', 'Anthony Hopkins', 4173), ('movie', 'Thor', 10195), ('actor', 'Samuel L. Jackson', 2231), ('movie', 'The Avengers', 24428), ('actor', 'Pat Kiernan', 1480047), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Anthony Hopkins')"
"Tom Cruise",1,"([('actor', 'Tom Cruise', 500), ('movie', 'The Last Samurai', 616), ('actor', 'William Atherton', 7676), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Tom Cruise')"
"Brad Pitt",1,"([('actor', 'Brad Pitt', 287), ('movie', 'Bullet Train', 718930), ('actor', 'Zazie Beetz', 1545693), ('movie', 'The Bad Guys 2', 1175942)], 'Brad Pitt')"
"Morgan Freeman",2,"([('actor', 'Morgan Freeman', 192), ('movie', 'The Dark Knight', 155), ('actor', 'Michael Caine', 3895), ('movie', 'The Cider House Rules', 1715), ('actor', 'Paul Rudd', 22226), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Morgan Freeman')"
"John Wayne",2,"([('actor', 'John Wayne', 4165), ('movie', 'How the West Was Won', 11897), ('actor', 'Harry Dean Stanton', 5048), ('movie', 'The Avengers', 24428), ('actor', 'Pat Kiernan', 1480047), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'John Wayne')"
"Robert Duvall",2,"([('actor', 'Robert Duvall', 3087), ('movie', 'The Godfather', 238), ('actor', 'Al Pacino', 1158), ('movie', "The Devil's Advocate", 1813), ('actor', 'John Rothman', 60205), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Robert Duvall')"
"Gary Oldman",2,"([('actor', 'Gary Oldman', 64), ('movie', 'The Dark Knight', 155), ('actor', 'Michael Caine', 3895), ('movie', 'The Cider House Rules', 1715), ('actor', 'Paul Rudd', 22226), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Gary Oldman')"
"Johnny Depp",1,"([('actor', 'Johnny Depp', 85), ('movie', "Pirates of the Caribbean: At World's End", 285), ('actor', 'Omid Djalili', 41379), ('movie', 'The Bad Guys 2', 1175942)], 'Johnny Depp')"
"Russell Crowe",1,"([('actor', 'Russell Crowe', 934), ('movie', 'Gladiator', 98), ('actor', 'Omid Djalili', 41379), ('movie', 'The Bad Guys 2', 1175942)], 'Russell Crowe')"
"Matthew McConaughey",1,"([('actor', 'Matthew McConaughey', 10297), ('movie', 'Failure to Launch', 6877), ('actor', 'Patton Oswalt', 10872), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Matthew McConaughey')"
"Joaquin Phoenix",1,"([('actor', 'Joaquin Phoenix', 73421), ('movie', 'Gladiator', 98), ('actor', 'Omid Djalili', 41379), ('movie', 'The Bad Guys 2', 1175942)], 'Joaquin Phoenix')"
"Edward Norton",1,"([('actor', 'Edward Norton', 819), ('movie', 'The Grand Budapest Hotel', 120467), ('actor', 'Bill Murray', 1532), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Edward Norton')"
"Christian Bale",1,"([('actor', 'Christian Bale', 3894), ('movie', 'Vice', 429197), ('actor', 'Sam Rockwell', 6807), ('movie', 'The Bad Guys 2', 1175942)], 'Christian Bale')"
"Will Smith",1,"([('actor', 'Will Smith', 2888), ('movie', 'Anchorman 2: The Legend Continues', 109443), ('actor', 'Paul Rudd', 22226), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Will Smith')"
"Harrison Ford",1,"([('actor', 'Harrison Ford', 3), ('movie', 'The Secret Life of Pets 2', 412117), ('actor', 'Patton Oswalt', 10872), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Harrison Ford')"
"Robert Redford",1,"([('actor', 'Robert Redford', 4135), ('movie', 'Avengers: Endgame', 299534), ('actor', 'Paul Rudd', 22226), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Robert Redford')"
"Sean Connery",2,"([('actor', 'Sean Connery', 738), ('movie', 'Indiana Jones and the Last Crusade', 89), ('actor', 'Harrison Ford', 3), ('movie', 'Star Wars: The Force Awakens', 140607), ('actor', 'Ian Whyte', 946696), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Sean Connery')"
"Sean Penn",1,"([('actor', 'Sean Penn', 2228), ('movie', 'The Angry Birds Movie', 153518), ('actor', 'Mckenna Grace', 1172108), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Sean Penn')"
"Daniel Craig",1,"([('actor', 'Daniel Craig', 8784), ('movie', 'Glass Onion: A Knives Out Mystery', 661374), ('actor', 'Natasha Lyonne', 10871), ('movie', 'The Bad Guys 2', 1175942)], 'Daniel Craig')"
"Matt Damon",1,"([('actor', 'Matt Damon', 1892), ('movie', 'Deadpool 2', 383498), ('actor', 'Zazie Beetz', 1545693), ('movie', 'The Bad Guys 2', 1175942)], 'Matt Damon')"
"Ben Affleck",1,"([('actor', 'Ben Affleck', 880), ('movie', 'Gone Girl', 210577), ('actor', 'Carrie Coon', 1308445), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Ben Affleck')"
"Ethan Hawke",1,"([('actor', 'Ethan Hawke', 569), ('movie', 'The Northman', 639933), ('actor', 'Ian Whyte', 946696), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Ethan Hawke')"
"Ryan Gosling",2,"([('actor', 'Ryan Gosling', 30614), ('movie', 'Barbie', 346698), ('actor', 'Margot Robbie', 234352), ('movie', 'I, Tonya', 389015), ('actor', 'Mckenna Grace', 1172108), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Ryan Gosling')"
"Jake Gyllenhaal",1,"([('actor', 'Jake Gyllenhaal', 131), ('movie', 'Spirit Untamed', 637693), ('actor', 'Mckenna Grace', 1172108), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Jake Gyllenhaal')"
"Chris Hemsworth",1,"([('actor', 'Chris Hemsworth', 74568), ('movie', 'Avengers: Endgame', 299534), ('actor', 'Paul Rudd', 22226), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Chris Hemsworth')"
"Chris Evans",1,"([('actor', 'Chris Evans', 16828), ('movie', 'Avengers: Endgame', 299534), ('actor', 'Paul Rudd', 22226), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Chris Evans')"
"Robert Downey Jr.",1,"([('actor', 'Robert Downey Jr.', 3223), ('movie', 'The Fantastic 4: First Steps', 617126), ('actor', 'Natasha Lyonne', 10871), ('movie', 'The Bad Guys 2', 1175942)], 'Robert Downey Jr.')"
"Scarlett Johansson",1,"([('actor', 'Scarlett Johansson', 1245), ('movie', 'Iron Man 2', 10138), ('actor', 'Sam Rockwell', 6807), ('movie', 'The Bad Guys 2', 1175942)], 'Scarlett Johansson')"
"Natalie Portman",1,"([('actor', 'Natalie Portman', 524), ('movie', 'Avengers: Endgame', 299534), ('actor', 'Paul Rudd', 22226), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Natalie Portman')"
"Cate Blanchett",1,"([('actor', 'Cate Blanchett', 112), ('movie', "Ocean's Eight", 402900), ('actor', 'Awkwafina', 1625558), ('movie', 'The Bad Guys 2', 1175942)], 'Cate Blanchett')"
"Meryl Streep",1,"([('actor', 'Meryl Streep', 5064), ('movie', 'The Devil Wears Prada', 350), ('actor', 'John Rothman', 60205), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Meryl Streep')"
"Helen Mirren",1,"([('actor', 'Helen Mirren', 15735), ('movie', 'The Nutcracker and the Four Realms', 426543), ('actor', 'Omid Djalili', 41379), ('movie', 'The Bad Guys 2', 1175942)], 'Helen Mirren')"
"Jodie Foster",1,"([('actor', 'Jodie Foster', 1038), ('movie', "Nim's Island", 10488), ('actor', 'Ashley London', 2581798), ('movie', 'The Bad Guys 2', 1175942)], 'Jodie Foster')"
"Nicole Kidman",1,"([('actor', 'Nicole Kidman', 2227), ('movie', 'The Northman', 639933), ('actor', 'Ian Whyte', 946696), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Nicole Kidman')"
"Julia Roberts",1,"([('actor', 'Julia Roberts', 1204), ('movie', 'Notting Hill', 509), ('actor', 'Omid Djalili', 41379), ('movie', 'The Bad Guys 2', 1175942)], 'Julia Roberts')"
"Sandra Bullock",1,"([('actor', 'Sandra Bullock', 18277), ('movie', 'Bullet Train', 718930), ('actor', 'Zazie Beetz', 1545693), ('movie', 'The Bad Guys 2', 1175942)], 'Sandra Bullock')"
"Charlize Theron",1,"([('actor', 'Charlize Theron', 6885), ('movie', 'Doctor Strange in the Multiverse of Madness', 453395), ('actor', 'Bridget Hoffman', 173428), ('movie', 'The Bad Guys 2', 1175942)], 'Charlize Theron')"
"Emma Thompson",1,"([('actor', 'Emma Thompson', 7056), ('movie', 'Men in Black: International', 479455), ('actor', 'Kumail Nanjiani', 466505), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Emma Thompson')"
"Frances McDormand",1,"([('actor', 'Frances McDormand', 3910), ('movie', "Madagascar 3: Europe's Most Wanted", 80321), ('actor', 'Christopher Knights', 12097), ('movie', 'The Bad Guys 2', 1175942)], 'Frances McDormand')"
"Viola Davis",1,"([('actor', 'Viola Davis', 19492), ('movie', 'Kung Fu Panda 4', 1011985), ('actor', 'Awkwafina', 1625558), ('movie', 'The Bad Guys 2', 1175942)], 'Viola Davis')"
"Octavia Spencer",1,"([('actor', 'Octavia Spencer', 6944), ('movie', 'Smurfs', 936108), ('actor', 'Natasha Lyonne', 10871), ('movie', 'The Bad Guys 2', 1175942)], 'Octavia Spencer')"
"Amy Adams",1,"([('actor', 'Amy Adams', 9273), ('movie', 'Her', 152601), ('actor', 'Evelyn Edwards', 1089188), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Amy Adams')"
"Rachel Weisz",1,"([('actor', 'Rachel Weisz', 3293), ('movie', 'The Mummy', 564), ('actor', 'Omid Djalili', 41379), ('movie', 'The Bad Guys 2', 1175942)], 'Rachel Weisz')"
"Tilda Swinton",1,"([('actor', 'Tilda Swinton', 3063), ('movie', 'Avengers: Endgame', 299534), ('actor', 'Paul Rudd', 22226), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Tilda Swinton')"
"Michelle Williams",1,"([('actor', 'Michelle Williams', 1812), ('movie', 'If These Walls Could Talk 2', 28031), ('actor', 'Natasha Lyonne', 10871), ('movie', 'The Bad Guys 2', 1175942)], 'Michelle Williams')"
"Carey Mulligan",2,"([('actor', 'Carey Mulligan', 36662), ('movie', 'Pride & Prejudice', 4348), ('actor', 'Tom Hollander', 2441), ('movie', "Pirates of the Caribbean: At World's End", 285), ('actor', 'Omid Djalili', 41379), ('movie', 'The Bad Guys 2', 1175942)], 'Carey Mulligan')"
"Rosamund Pike",1,"([('actor', 'Rosamund Pike', 10882), ('movie', 'Gone Girl', 210577), ('actor', 'Carrie Coon', 1308445), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Rosamund Pike')"
"Jessica Chastain",1,"([('actor', 'Jessica Chastain', 83002), ('movie', 'It Chapter Two', 474350), ('actor', 'Finn Wolfhard', 1442069), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Jessica Chastain')"
"Emily Blunt",1,"([('actor', 'Emily Blunt', 5081), ('movie', 'The Devil Wears Prada', 350), ('actor', 'John Rothman', 60205), ('movie', 'Ghostbusters: Frozen Empire', 967847)], 'Emily Blunt')"
